words@eve2006m	00:14:07.278	00:14:07.319	к
words@eve2006m	00:14:07.319	00:14:07.731	сожалению
words@eve2006m	00:14:07.731	00:14:07.889	мне
words@eve2006m	00:14:07.889	00:14:07.990	не
words@eve2006m	00:14:07.990	00:14:08.427	нравилось
words@eve2006m	00:14:08.427	00:14:08.690	как
words@eve2006m	00:14:08.690	00:14:08.737	/
words@eve2006m	00:14:08.737	00:14:09.063	эээ
words@eve2006m	00:14:09.063	00:14:09.275	этот
words@eve2006m	00:14:09.275	00:14:09.800	мультфильм
words@eve2006m	00:14:10.764	00:14:11.182	#чмоканье#
words@eve2006m	00:14:11.386	00:14:11.680	как-то
words@eve2006m	00:14:11.680	00:14:12.364	несистемно
words@eve2006m	00:14:12.364	00:14:12.813	крутили
words@eve2006m	00:14:12.861	00:14:12.991	то
words@eve2006m	00:14:12.991	00:14:13.318	есть
words@eve2006m	00:14:13.318	00:14:13.569	ээ
words@eve2006m	00:14:13.585	00:14:13.993	показали
words@eve2006m	00:14:13.993	00:14:14.234	одну
words@eve2006m	00:14:14.234	00:14:14.626	серию
words@eve2006m	00:14:14.690	00:14:14.935	потом
words@eve2006m	00:14:14.935	00:14:15.240	сразу
words@eve2006m	00:14:15.240	00:14:15.563	же
words@eve2006m	00:14:16.057	00:14:16.145	с
words@eve2006m	00:14:16.145	00:14:16.503	другого
words@eve2006m	00:14:16.503	00:14:16.857	сезона
words@eve2006m	00:14:16.857	00:14:17.421	совершенно
words@eve2006m	00:14:17.421	00:14:17.762	другую
words@eve2006m	00:14:17.762	00:14:18.059	серию
words@eve2006m	00:14:18.060	00:14:18.140	и
words@eve2006m	00:14:18.140	00:14:18.383	я
words@eve2006m	00:14:18.464	00:14:19.028	#вздох#
words@eve2006m	00:14:19.064	00:14:19.319	понимал
words@eve2006m	00:14:19.319	00:14:19.462	что
words@eve2006m	00:14:19.462	00:14:19.563	как
words@eve2006m	00:14:19.563	00:14:19.712	бы
words@eve2006m	00:14:19.712	00:14:20.174	мультфильм-то
words@eve2006m	00:14:20.174	00:14:20.712	сюжетный
words@eve2006m	00:14:22.243	00:14:22.611	должен
words@eve2006m	00:14:23.707	00:14:24.126	серии-то
words@eve2006m	00:14:24.126	00:14:24.324	одна
words@eve2006m	00:14:24.324	00:14:24.435	за
words@eve2006m	00:14:24.435	00:14:24.704	другой
words@eve2006m	00:14:24.704	00:14:24.984	идут
words@eve2006m	00:14:24.984	00:14:25.040	и
words@eve2006m	00:14:25.040	00:14:25.188	там
words@eve2006m	00:14:25.188	00:14:25.627	постепенно
words@eve2006m	00:14:25.627	00:14:26.144	раскрывают
words@eve2006m	00:14:26.144	00:14:26.734	персонажей
words@eve2006m	00:14:26.734	00:14:26.794	а
words@eve2006m	00:14:26.829	00:14:27.165	#вздох#
words@eve2006m	00:14:27.188	00:14:27.551	показывали
words@eve2006m	00:14:27.551	00:14:27.607	их
words@eve2006m	00:14:27.607	00:14:27.680	в
words@eve2006m	00:14:27.680	00:14:28.004	каком-то=
words@eve2006m	00:14:28.004	00:14:28.128	/
words@eve2006m	00:14:28.128	00:14:28.604	странном
words@eve2006m	00:14:28.604	00:14:29.250	порядке
words@eve2006m	00:14:29.313	00:14:30.043	мне
words@eve2006m	00:14:30.393	00:14:30.753	#чмоканье#
words@eve2006m	00:14:30.788	00:14:30.882	это
words@eve2006m	00:14:30.882	00:14:31.193	вообще
words@eve2006m	00:14:31.193	00:14:31.254	не
words@eve2006m	00:14:31.254	00:14:31.866	нравилось
words@eve2006m	00:14:31.897	00:14:32.337	и
words@eve2006m	00:14:32.500	00:14:32.582	в
words@eve2006m	00:14:32.582	00:14:32.947	итоге
words@eve2006m	00:14:32.947	00:14:33.041	я
words@eve2006m	00:14:33.041	00:14:33.279	тогда
words@eve2006m	00:14:33.279	00:14:33.769	полез
words@eve2006m	00:14:34.111	00:14:34.182	в
words@eve2006m	00:14:34.182	00:14:34.522	какую-то
words@eve2006m	00:14:34.522	00:14:34.737	группу
words@eve2006m	00:14:34.737	00:14:35.364	ВКонтакте
words@eve2006m	00:14:35.882	00:14:35.947	в
words@eve2006m	00:14:35.947	00:14:36.136	которую
words@eve2006m	00:14:36.136	00:14:36.639	выкладывали
words@eve2006m	00:14:36.639	00:14:36.816	эти
words@eve2006m	00:14:36.816	00:14:37.081	серии
words@eve2006m	00:14:37.081	00:14:37.204	в
words@eve2006m	00:14:37.204	00:14:37.712	оригинале
words@eve2006m	00:14:38.418	00:14:38.476	с
words@eve2006m	00:14:38.476	00:14:38.920	любитель=
words@eve2006m	00:14:38.920	00:14:39.050	c
words@eve2006m	00:14:39.050	00:14:39.547	любительским
words@eve2006m	00:14:39.547	00:14:40.153	переводом
words@eve2006m	00:14:40.667	00:14:40.958	начинал
words@eve2006m	00:14:40.958	00:14:41.036	я
words@eve2006m	00:14:41.036	00:14:41.108	с
words@eve2006m	00:14:41.108	00:14:41.684	любительского
words@eve2006m	00:14:41.684	00:14:42.152	перевода
words@eve2006m	00:14:43.497	00:14:43.950	смотрел
words@eve2006m	00:14:43.950	00:14:44.130	их
words@eve2006m	00:14:44.145	00:14:44.211	в
words@eve2006m	00:14:44.211	00:14:44.378	том
words@eve2006m	00:14:44.378	00:14:44.930	порядке
words@eve2006m	00:14:44.987	00:14:45.006	в
words@eve2006m	00:14:45.006	00:14:45.399	котором
words@eve2006m	00:14:45.399	00:14:45.594	они
words@eve2006m	00:14:45.594	00:14:45.956	действительно
words@eve2006m	00:14:45.956	00:14:46.127	были
words@eve2006m	00:14:46.127	00:14:46.602	задуманы
words@eve2006m	00:14:46.602	00:14:47.073	автором
words@eve2006m	00:14:47.563	00:14:47.824	чтоб
words@eve2006m	00:14:47.824	00:14:48.042	понять
words@eve2006m	00:14:48.042	00:14:48.402	сюжет
